id,funcao,estados,pesos,variance,prob_VL,prob_L,prob_M,prob_H,prob_VH
1,wmean,H-VL,0.7-0.3,0.05,0.068,0.225,0.353,0.262,0.092
2,wmean,H-VL,0.5-0.5,0.05,0.155,0.328,0.328,0.155,0.035
3,wmean,H-VL,0.6-0.4,0.05,0.106,0.28,0.35,0.207,0.058
4,wmean,M-M,0.4-0.6,0.05,0.079,0.243,0.354,0.244,0.079
5,wmean,H-VH,0.3-0.7,0.07,0.01,0.056,0.185,0.355,0.395
6,wmean,H-M,0.2-0.8,0.07,0.084,0.212,0.31,0.264,0.13
7,wmean,M-VH-M,0.5-0.3-0.2,0.05,0.029,0.139,0.317,0.341,0.174
8,wmean,M-VL-VH,0.4-0.4-0.2,0.05,0.137,0.313,0.337,0.172,0.041
9,wmean,M-VH-VL,0.6-0.2-0.2,0.1,0.129,0.231,0.28,0.231,0.129
10,wmean,H-M-VL,0.33-0.33-0.34,0.05,0.129,0.305,0.341,0.18,0.045
11,wmean,VL-VL-M,0.2-0.4-0.4,0.07,0.296,0.349,0.238,0.094,0.022
12,wmean,M-VL-M,0.3-0.3-0.4,0.05,0.174,0.341,0.317,0.139,0.029
13,wmin,VL-VL,0.7-0.3,0.05,0.528,0.347,0.108,0.016,0.001
14,wmin,VL-VH,0.5-0.5,0.1,0.207,0.285,0.266,0.169,0.073
15,wmin,H-M,0.6-0.4,0.05,0.043,0.176,0.339,0.309,0.133
16,wmin,VL-M,0.4-0.6,0.07,0.306,0.351,0.233,0.09,0.02
17,wmin,M-VL,0.3-0.7,0.07,0.364,0.356,0.202,0.066,0.013
18,wmin,M-M,0.2-0.8,0.1,0.136,0.236,0.28,0.225,0.123
19,wmin,H-VL-VH,0.5-0.3-0.2,0.05,0.117,0.292,0.346,0.194,0.051
20,wmin,VL-VL-VL,0.4-0.4-0.2,0.1,0.41,0.329,0.179,0.066,0.017
21,wmin,M-M-VL,0.6-0.2-0.2,0.1,0.239,0.3,0.256,0.148,0.058
22,wmin,M-M-VH,0.33-0.33-0.34,0.1,0.102,0.204,0.277,0.256,0.16
23,wmin,VL-M-M,0.2-0.4-0.4,0.05,0.233,0.371,0.28,0.1,0.017
24,wmin,VL-VL-M,0.3-0.3-0.4,0.07,0.389,0.355,0.188,0.058,0.01
25,wmax,M-VH,0.7-0.3,0.07,0.022,0.097,0.241,0.348,0.292
26,wmax,H-M,0.5-0.5,0.1,0.073,0.17,0.266,0.285,0.206
27,wmax,M-M,0.6-0.4,0.1,0.123,0.226,0.28,0.236,0.135
28,wmax,H-VL,0.4-0.6,0.05,0.095,0.266,0.353,0.221,0.066
29,wmax,M-M,0.3-0.7,0.1,0.123,0.225,0.28,0.236,0.135
30,wmax,VL-VH,0.2-0.8,0.1,0.038,0.114,0.231,0.319,0.298
31,wmax,VL-VL-VL,0.5-0.3-0.2,0.05,0.496,0.36,0.123,0.02,0.002
32,wmax,H-M-VH,0.4-0.4-0.2,0.1,0.041,0.12,0.236,0.316,0.287
33,wmax,VL-VL-VL,0.6-0.2-0.2,0.05,0.496,0.36,0.123,0.02,0.002
34,wmax,VL-M-VL,0.33-0.33-0.34,0.05,0.285,0.385,0.246,0.074,0.011
35,wmax,M-VH-VL,0.2-0.4-0.4,0.05,0.035,0.155,0.328,0.328,0.155
36,wmax,H-M-VH,0.3-0.3-0.4,0.1,0.039,0.116,0.233,0.318,0.295
37,mixminmax,M-VL,0.7-0.3,0.05,0.36,0.388,0.198,0.048,0.005
38,mixminmax,M-VL,0.5-0.5,0.07,0.259,0.34,0.259,0.114,0.029
39,mixminmax,VL-VL,0.6-0.4,0.05,0.522,0.35,0.111,0.017,0.001
40,mixminmax,M-VH,0.4-0.6,0.05,0.008,0.064,0.23,0.388,0.31
41,mixminmax,VL-VH,0.3-0.7,0.1,0.065,0.158,0.261,0.293,0.223
42,mixminmax,M-VL,0.2-0.8,0.07,0.158,0.287,0.303,0.186,0.066
43,mixminmax,VL-VH-VH,0.5-0.5,0.1,0.121,0.223,0.28,0.238,0.138
44,mixminmax,H-M-M,0.4-0.6,0.1,0.083,0.182,0.271,0.275,0.189
45,mixminmax,M-VL-VH,0.6-0.4,0.1,0.173,0.265,0.275,0.194,0.093
46,mixminmax,M-VL-VH,0.3-0.7,0.07,0.039,0.136,0.277,0.326,0.222
47,mixminmax,VL-VL-VH,0.7-0.3,0.1,0.239,0.3,0.255,0.148,0.058
48,mixminmax,VL-VH-M,0.4-0.6,0.05,0.042,0.172,0.337,0.312,0.137
