id,funcao,at,ac,hn,pesos,variance
1,wmean,H,VL,,"[0.7, 0.3]",[0.05]
2,wmean,H,VL,,"[0.5, 0.5]",[0.05]
3,wmean,H,VL,,"[0.6, 0.4]",[0.05]
4,wmean,M,M,,"[0.4, 0.6]",[0.05]
5,wmean,H,VH,,"[0.3, 0.7]",[0.07]
6,wmean,H,M,,"[0.2, 0.8]",[0.07]

7,wmean,M,VH,M,"[0.5, 0.3, 0.2]",[0.05]
8,wmean,M,VL,VH,"[0.4, 0.4, 0.2]",[0.05]
9,wmean,M,VH,VL,"[0.6, 0.2, 0.2]",[0.1]
10,wmean,H,M,VL,"[0.33, 0.33, 0.34]",[0.05]
11,wmean,VL,VL,M,"[0.2, 0.4, 0.4]",[0.07]
12,wmean,M,VL,M,"[0.3, 0.3, 0.4]",[0.05]

13,wmin,VL,VL,,"[0.7, 0.3]",[0.05]
14,wmin,VL,VH,,"[0.5, 0.5]",[0.1]
15,wmin,H,M,,"[0.6, 0.4]",[0.05]
16,wmin,VL,M,,"[0.4, 0.6]",[0.07]
17,wmin,M,VL,,"[0.3, 0.7]",[0.07]
18,wmin,M,M,,"[0.2, 0.8]",[0.1]

19,wmin,H,VL,VH,"[0.5, 0.3, 0.2]",[0.05]
20,wmin,VL,VL,VL,"[0.4, 0.4, 0.2]",[0.1]
21,wmin,M,M,VL,"[0.6, 0.2, 0.2]",[0.1]
22,wmin,M,M,VH,"[0.33, 0.33, 0.34]",[0.1]
23,wmin,VL,M,M,"[0.2, 0.4, 0.4]",[0.05]
24,wmin,VL,VL,M,"[0.3, 0.3, 0.4]",[0.07]

25,wmax,M,VH,,"[0.7, 0.3]",[0.07]
26,wmax,H,M,,"[0.5, 0.5]",[0.1]
27,wmax,M,M,,"[0.6, 0.4]",[0.1]
28,wmax,H,VL,,"[0.4, 0.6]",[0.05]
29,wmax,M,M,,"[0.3, 0.7]",[0.1]
30,wmax,VL,VH,,"[0.2, 0.8]",[0.1]

31,wmax,VL,VL,VL,"[0.5, 0.3, 0.2]",[0.05]
32,wmax,H,M,VH,"[0.4, 0.4, 0.2]",[0.1]
33,wmax,VL,VL,VL,"[0.6, 0.2, 0.2]",[0.05]
34,wmax,VL,M,VL,"[0.33, 0.33, 0.34]",[0.05]
35,wmax,M,VH,VL,"[0.2, 0.4, 0.4]",[0.05]
36,wmax,H,M,VH,"[0.3, 0.3, 0.4]",[0.1]

37,mixminmax,M,VL,,"[0.7, 0.3]",[0.05]
38,mixminmax,M,VL,,"[0.5, 0.5]",[0.07]
39,mixminmax,VL,VL,,"[0.6, 0.4]",[0.05]
40,mixminmax,M,VH,,"[0.4, 0.6]",[0.05]
41,mixminmax,VL,VH,,"[0.3, 0.7]",[0.1]
42,mixminmax,M,VL,,"[0.2, 0.8]",[0.07]

43,mixminmax,VL,VH,VH,"[0.5, 0.5]",[0.1]
44,mixminmax,H,M,M,"[0.4, 0.6]",[0.1]
45,mixminmax,M,VL,VH,"[0.6, 0.4]",[0.1]
46,mixminmax,M,VL,VH,"[0.3, 0.7]",[0.07]
47,mixminmax,VL,VL,VH,"[0.7, 0.3]",[0.1]
48,mixminmax,VL,VH,M,"[0.4, 0.6]",[0.05]
